"English","Compound","B1","B2","B3","B4","B5","L1","L2","L3","L4","L5","Izaki Reading","Izaki Reading","Reading
(obsolete)"
"Sotetsu","??","?","?","","","","s?n","ches","","","","s?nches","","so??es"
"Device","??","?","?","","","","s?","chi","","","","s?chi","","so??i"
"early morning","??","?","?","","","","s?","ch?","","","","s?ch?","","so??o"
"Socho","??","?","?","","","","s?","t?n","","","","s?t?n","","so??o?n"
"binding","??","?","?","","","","s?","t?n","","","","s?t?n","","so??o?n"
"struggle","??","?","?","","","","ts?","t?","","","","ts?t?","","so?tu?"
"Talk","??","?","?","","","","s?","hwa","","","","s?hwa","","so?wa"
"difference","??","?","?","","","","s?n","wi","","","","s?nwi","","so?wi"
"Ministry staff","??","?","?","","","","sh?n","win","","","","sh?nwin","","so?win"
"partner","??","?","?","","","","s?n","zhin","","","","s?nzhin","","so??in"
"saving people","??","?","?","","","","sh?n","zhin","","","","sh?nzhin","","so??in"
"early","??","?","?","","","","s?","","","","","s?","","so??"
"send","??","?","?","","","","s?","","","","","s?","","so??"
"mutual","??","?","?","","","","s?n","ho","","","","s?nho","","so??"
"Companion","??","?","?","","","","s?n","ban","","","","s?nban","","so??"
"Load","??","?","?","","","","s?","","","","","s?","","so??"
"Compatibility","??","?","?","","","","s?n","k?","","","","s?nk?","","so?ho?"
"incest","??","?","?","","","","s?n","","","","","s?n","","so??"
"Mutual support","??","?","?","","","","s?n","fu","","","","s?nfu","","so??"
"early dawn","??","?","?","","","","s?","ky?","","","","s?ky?","","so??"
"symmetry","??","?","?","","","","s?n","ts?n","","","","s?nts?n","","so??o?"
"Submission","??","?","?","","","","s?","ko","","","","s?ko","","so??"
"Referral","??","?","?","","","","s?","chi","","","","s?chi","","so??i"
"dispute","??","?","?","","","","ts?","s?n","","","","ts?s?n","","so??"
"early death","??","?","?","","","","s?","sei","","","","s?sei","","so??"
"quarrel","??","?","?","","","","ts?","m?n","","","","ts?m?n","","so??"
"prime age","??","?","?","","","","s?","r?n","","","","s?r?n","","so??"
"running horse","??","?","?","","","","sau","ma","","","","sauma","","soba"
"complaint","??","?","?","","","","sou","zh?n","","","","souzh?n","","so?a?n"
"ancestor's statement","??","?","?","","","","so","chus","","","","sochus","","so?us"
"Proto-language","??","?","?","","","","so","go","","","","sogo","","sogo"
"strike direction","??","?","?","","","","sau","hy?n","","","","sauhy?n","","sohja?n"
"Charges","??","?","?","","","","sou","in","","","","souin","","soin"
"ancestor","??","?","?","","","","so","hy?","","","","sohy?","","sokjo?"
"appeal","??","?","?","","","","sou","kyu","","","","soukyu","","soku"
"quick decision","??","?","?","","","","soku","dan","","","","sokudan","","sokudan"
"speed","??","?","?","","","","soku","do","","","","sokudo","","sokudo"
"speed, speedliki","??,?liki","#REF!","","","","","#REF!","#REF!","","","","#REF!","","sokudo,sokuliki"
"Continued","??","?","?","","","","soku","kan","","","","sokukan","","sokukan"
"shorthand","??","?","?","","","","soku","ki","","","","sokuki","","sokuki"
"Continuation","??","?","?","","","","soku","h?n","","","","sokuh?n","","sokuko?n"
"fastball","??","?","?","","","","soku","gyu","","","","sokugyu","","sokuku"
"Sequential outbreaks","??","?","?","","","","soku","pas","","","","sokupas","","sokupas"
"Follow-up","??","?","?","","","","soku","hou","","","","sokuhou","","sokupo?"
"breaking news","??","?","?","","","","soku","hou","","","","sokuhou","","sokupo?"
"quick production","??","?","?","","","","soku","sei","","","","sokusei","","sokusei"
"Quick attack","??","?","?","","","","soku","k?","","","","sokuk?","","sokusei"
"rapid fire","??","?","?","","","","soku","sha","","","","sokusha","","soku?a"
"court robes","??","?","?","","","","suku","tai","","","","sukutai","","sokutai"
"Speed ??reading","??","?","?","","","","soku","doku","","","","sokudoku","","sokutoku"
"Continued","??","?","?","","","","soku","tu","","","","sokutu","","sokutu"
"To be continued","??","?","?","","","","soku","","","","","soku","","soku?"
"continue","???","?","?","?","","","soku","","","","","soku","","soku??"
"Fast-acting","??","?","?","","","","soku","kyo","","","","sokukyo","","sokukyo"
"registration fee","??","?","?","","","","suku","","","","","suku","","soku?"
"bundle of hair","??","?","?","","","","suku","pas","","","","sukupas","","soku?"
"grandmother","??","?","?","","","","so","mo","","","","somo","","somo"
"loss","?","?","","","","","son","#NUM!","","","","#NUM!","","son"
"loss","??","?","?","","","","son","m?n","","","","sonm?n","","sonba?n"
"Murado","??","?","?","","","","son","d?n","","","","sond?n","","sonda?n"
"village road","??","?","?","","","","son","d?","","","","sond?","","sondo?"
"damage","??","?","?","","","","son","koi","","","","sonkoi","","sonhwai"
"Damage","??","?","?","","","","son","hwai","","","","sonhwai","","sonhwai"
"Village-run","??","?","?","","","","son","ein","","","","sonein","","sonjei"
"Muraari","??","?","?","","","","son","y?","","","","sony?","","sonju"
"Loss","??","?","?","","","","son","ki","","","","sonki","","sonki"
"Loss","??","?","?","","","","son","kin","","","","sonkin","","sonkin"
"Village","??","?","?","","","","son","ris/ryus","","","","sonris/ryus","","sonlis"
"loss fee","??","?","?","","","","son","ryo","","","","sonryo","","sonljo"
"Village name","??","?","?","","","","son","mei/my?n","","","","sonmei/my?n","","sonmei"
"Non-life insurance","??","?","?","","","","son","po","","","","sonpo","","sonpo"
"Village administration","??","?","?","","","","son","sei","","","","sonsei","","sonsei"
"Number of villages","??","?","?","","","","son","s?","","","","sons?","","sonsu"
"Village History","??","?","?","","","","son","shi","","","","sonshi","","son?i"
"outside the village","??","?","?","","","","son","wai","","","","sonwai","","sonwai"
"village tax","??","?","?","","","","son","zei","","","","sonzei","","sonze"
"Village School","??","?","?","","","","son","shuku","","","","sonshuku","","son?"
"loss","??","?","?","","","","son","k?","","","","sonk?","","son?"
"grandfather","??","?","?","","","","so","fu","","","","sofu","","sopu"
"ancestral spirits","??","?","?","","","","so","rei/ry?n","","","","sorei/ry?n","","sorei"
"Running ability","??","?","?","","","","sau","riki/r?","","","","sauriki/r?","","soriki"
"scanning","??","?","?","","","","sau","sa","","","","sausa","","sosa"
"cornerstone","??","?","?","","","","so","shaki","","","","soshaki","","soseku"
"savings","??","?","?","","","","sos","yaku","","","","sosyaku","","so??aku"
"Savings","??","?","?","","","","sos","y?","","","","sosy?","","so??o?"
"internodes","??","?","?","","","","sos","kan","","","","soskan","","soskan"
"Seasons","??","?","?","","","","sos","ki","","","","soski","","soski"
"solar terms","??","?","?","","","","sos","ki","","","","soski","","soski"
"seasonal festivals","??","?","?","","","","sos","kwi","","","","soskwi","","soskwi"
"jointness","??","?","?","","","","sos","ri","","","","sosri","","sosli"
"Savory rice","??","?","?","","","","sos","mai","","","","sosmai","","sosmai"
"milestone","??","?","?","","","","sos","moku","","","","sosmoku","","sosmuku"
"Intranode","??","?","?","","","","sos","nae","","","","sosnae","","sosnae"
"festival day","??","?","?","","","","sos","nis","","","","sosnis","","sosnis"
"Tax savings","??","?","?","","","","sos","zei","","","","soszei","","sosse"
"temperance","??","?","?","","","","sos","sei","","","","sossei","","sossei"
"Arthropods","??","?","?","","","","sos","suku","","","","sossuku","","sossoku"
"water saving","??","?","?","","","","sos","sui","","","","sossui","","sossui"
"frugality","??","?","?","","","","sos","shoku","","","","sosshoku","","sos?oku"
"node","??","?","?","","","","sos","ten","","","","sosten","","sosten"
"Power saving","??","?","?","","","","sos","dyen","","","","sosdyen","","sostjen"
"nobility","??","?","?","","","","sos","wi","","","","soswi","","soswi"
"sobriety","??","?","?","","","","sos","shu","","","","sosshu","","sos?u"
"runner","??","?","?","","","","sau","sha","","","","sausha","","so?a"
"founder","??","?","?","","","","so","shi","","","","soshi","","so?i"
"ancestral deity","??","?","?","","","","so","shin/jin","","","","soshin/jin","","so?in"
"prosecution","??","?","?","","","","sou","tswi","","","","soutswi","","so?wi"
"plaintiff","??","?","?","","","","sou","zhin","","","","souzhin","","so?in"
"ancestral sect","??","?","?","","","","so","sau","","","","sosau","","so?o?n"
"run","??","?","?","","","","sau","","","","","sau","","so?"
"base running","??","?","?","","","","sau","rwi","","","","saurwi","","sorwi"
"ancestral shrine","??","?","?","","","","so","","","","","so","","so?"
"running dog","??","?","?","","","","sau","ku","","","","sauku","","so?"
"Completed","??","?","?","","","","sau","pa","","","","saupa","","so?"
"lawsuit","??","?","?","","","","sou","s?n","","","","sous?n","","so?"
"appeal","??","?","?","","","","sou","yan","","","","souyan","","sokwan"
"group","??","?","?","","","","s?s","dan","","","","s?sdan","","su?dan"
"Current collection","??","?","?","","","","s?s","dyen","","","","s?sdyen","","su?djen"
"concentration","??","?","?","","","","s?s","ju","","","","s?sju","","su??u"
"settlement","??","?","?","","","","s?s","chu","","","","s?schu","","su??u"
"compilation","??","?","?","","","","s?s","hai","","","","s?shai","","su?hai"
"set","??","?","?","","","","s?s","k?","","","","s?sk?","","su?ka?"
"Attracting customers","??","?","?","","","","s?s","kyeku","","","","s?skyeku","","su?kjeku"
"gathering place","??","?","?","","","","s?s","kyo","","","","s?skyo","","su?kjo"
"habit","??","?","?","","","","s?i","kwan","","","","s?ikwan","","su?kwan"
"rally","??","?","?","","","","s?s","kwi","","","","s?skwi","","su?kwi"
"Light collection","??","?","?","","","","s?s","kw?","","","","s?skw?","","su?kwo?"
"layer","?","?","","","","","s?n","#NUM!","","","","#NUM!","","su?n"
"Layered","??","?","?","","","","s?n","zh?n","","","","s?nzh?n","","su?n?a?n"
"compliance","??","?","?","","","","sh?n","fuku","","","","sh?nfuku","","su?nhuku"
"between layers","??","?","?","","","","s?n","kan","","","","s?nkan","","su?nkan"
"stratification","??","?","?","","","","s?n","kwa","","","","s?nkwa","","su?nkwa"
"approval","??","?","?","","","","sh?n","rin","","","","sh?nrin","","su?nnin"
"layer tower","??","?","?","","","","s?n","tais","","","","s?ntais","","su?nta?n"
"Understood","??","?","?","","","","sh?n","chi","","","","sh?nchi","","su?n?i"
"stratus clouds","??","?","?","","","","s?n","un","","","","s?nun","","su?nun"
"Succession","??","?","?","","","","sh?n","ts?s","","","","sh?nts?s","","su?n?"
"Sound collection","??","?","?","","","","s?s","on","","","","s?son","","su?on"
"Collection and delivery","??","?","?","","","","s?s","hai","","","","s?shai","","su?pai"
"settlement","??","?","?","","","","s?s","naku","","","","s?snaku","","su?raku"
"Collection","??","?","?","","","","s?s","ran","","","","s?sran","","su?ran"
"practice","??","?","?","","","","s?i","ren","","","","s?iren","","su?rjen"
"Collection","??","?","?","","","","s?s","ruku","","","","s?sruku","","su?rjoku"
"study","??","?","?","","","","s?i","tsaku","","","","s?itsaku","","su?saku"
"water collection","??","?","?","","","","s?s","sui","","","","s?ssui","","su?sui"
"Collection and distribution","??","?","?","","","","s?s","san","","","","s?ssan","","su??an"
"Concentration","??","?","?","","","","s?s","tei","","","","s?stei","","su??ei"
"Shuji","??","?","?","","","","s?s","chi","","","","s?schi","","su??i"
"collection of meanings","??","?","?","","","","s?s","wi","","","","s?swi","","su?wi"
"collection of orders","??","?","?","","","","s?s","chu","","","","s?schu","","su??u"
"get together","???","?","?","?","","","s?s","","","","","s?s","","su???"
"Habits","??","?","?","","","","s?i","peku","","","","s?ipeku","","su??"
"Collection of votes","??","?","?","","","","s?s","py?","","","","s?spy?","","su?pjo"
"several stages","??","?","?","","","","s?","dan","","","","s?dan","","sudan"
"numbers","??","?","?","","","","s?","zhi","","","","s?zhi","","su?i"
"A few lines","??","?","?","","","","s?","k?/gy?n/sh?n","","","","s?k?/gy?n/sh?n","","sugjo?"
"Amount","??","?","?","","","","s?","gau","","","","s?gau","","sugwaku"
"Mathematics","??","?","?","","","","s?","","","","","s?","","suhaku"
"Flood prevention","??","?","?","","","","sui","b?n","","","","suib?n","","suiba?n"
"Waterworks","??","?","?","","","","sui","d?","","","","suid?","","suido?"
"pancreas","??","?","?","","","","","z?","","","","z?","","sui?a?n"
"level","??","?","?","","","","sui","jun","","","","suijun","","sui?un"
"hydration","??","?","?","","","","sui","hwa","","","","suihwa","","suihwa"
"Wednesday","??","?","?","","","","sui","y?","","","","suiy?","","suijo"
"Water","??","?","?","","","","sui","y?/y?n","","","","suiy?/y?n","","suijo?n"
"Wednesday","???","?","?","?","","","sui","y?","","","","suiy?","","suijonis"
"water fish","??","?","?","","","","sui","yo","","","","suiyo","","suikjo"
"water buffalo","??","?","?","","","","sui","gu","","","","suigu","","suikju"
"Hydroponics","??","?","?","","","","sui","gy?n","","","","suigy?n","","suiko?"
"water polo","??","?","?","","","","sui","gyu","","","","suigyu","","suiku"
"transparent","??","?","?","","","","tou","ka","","","","touka","","suikwa"
"water pipe","??","?","?","","","","sui","kan","","","","suikan","","suikwan"
"Suimei","??","?","?","","","","sui","mei/my?n","","","","suimei/my?n","","suimei"
"watertight","??","?","?","","","","sui","mis","","","","suimis","","suimis"
"Water Vein","??","?","?","","","","sui","myaku","","","","suimyaku","","suimjaku"
"Water Accident","??","?","?","","","","sui","nan","","","","suinan","","suinan"
"Water Basin","??","?","?","","","","sui","pan","","","","suipan","","suipan"
"horizontal","??","?","?","","","","sui","pei","","","","suipei","","suipei"
"torpedo","??","?","?","","","","sui","rwai","","","","suirwai","","suirai"
"water spirit","??","?","?","","","","sui","rei/ry?n","","","","suirei/ry?n","","suirei"
"water use","??","?","?","","","","sui","ri","","","","suiri","","suiri"
"hydraulics","??","?","?","","","","sui","ri","","","","suiri","","suiri"
"water power","??","?","?","","","","sui","riki/r?","","","","suiriki/r?","","suiriki"
"land and water","??","?","?","","","","sui","ryuku","","","","suiryuku","","suiriku"
"Mizuren","??","?","?","","","","sui","ren","","","","suiren","","suirjen"
"water cooling","??","?","?","","","","sui","r?n","","","","suir?n","","suirjon"
"water theory","??","?","?","","","","sui","ron","","","","suiron","","suiron"
"hydroxy acid","??","?","?","","","","sui","san","","","","suisan","","suisan"
"aquatic rock","???","?","?","?","","","sui","sei","","","","suisei","","suiseigan"
"dialysis","??","?","?","","","","tou","seki","","","","touseki","","suiseki"
"Suiseki","??","?","?","","","","sui","shaki","","","","suishaki","","suiseku"
"narcissus","??","?","?","","","","sui","sen","","","","suisen","","suisen"
"water line","??","?","?","","","","sui","sen","","","","suisen","","suisen"
"washing with water","??","?","?","","","","sui","sen","","","","suisen","","suisen"
"Mizumura","??","?","?","","","","sui","son","","","","suison","","suison"
"water layer","??","?","?","","","","sui","s?n","","","","suis?n","","suisu?n"
"Transparent water","??","?","?","","","","tou","sui","","","","tousui","","suisui"
"crystal","??","?","?","","","","sui","sh?","","","","suish?","","sui?a?n"
"Drowning","??","?","?","","","","sui","shi","","","","suishi","","sui?i"
